2593,SB 30 EN,Scania K280UB,YS2K4X20001871403,Custom 'CB80',9120,Apr-11,B45DW,Admet,Lonsdale
2594,SB 31 EN,Scania K280UB,YS2K4X20001871446,Custom 'CB80',9121,Apr-11,B45DW,Admet,Lonsdale
2595,SB 82 EP,Scania K280UB,YS2K4X20001872906,Custom 'CB80',9124,May-11,B45DW,Admet,Lonsdale
2596,SB 83 EP,Scania K280UB,YS2K4X20001872923,Custom 'CB80',9125,May-11,B45DW,Admet,Lonsdale
2597,SB 84 EP,Scania K280UB,YS2K4X20001872909,Custom 'CB80',9126,May-11,B45DW,Admet,Lonsdale
2598,SB 86 EP,Scania K280UB,YS2K4X20001872902,Custom 'CB80',9127,May-11,B45DW,Admet,Lonsdale
2601,XS 49DK,Scania K320UB,YS2K4X20001918770,BusTech (SA) 'VST',,2020,B47DW,Admet New,Lonsdale
2602,XS 37EC,Scania K320UB,YS2K4X20001919587,BusTech (SA) 'VST',,2021,B47DW,Admet New,Lonsdale
2603,XS 71FN,Scania K320UB,YS2K4X20001920819,BusTech (SA) 'VST',,2022,B47DW,Admet New,Lonsdale
2604,XS 62FN,Scania K320UB,YS2K4X20001920840,BusTech (SA) 'VST',,2022,B47DW,Admet New,Lonsdale
2605,XS 63FN,Scania K320UB,YS2K4X20001920827,BusTech (SA) 'VST',,2022,B47DW,Admet New,Lonsdale
2606,XS 50FQ,Scania K320UB,YS2K4X20001920824,BusTech (SA) 'VST',,2022,B47DW,Admet New,Lonsdale
2701,WTZ 207,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002271,ABM 'CB64A',5897,2002,B47DW,Admet,Lonsdale
2702,WTZ 206,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002272,ABM 'CB64A',5898,Aug-02,B47DW,Admet,Lonsdale
2703,WTR 671,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002274,ABM 'CB64A',5899,Aug-02,B47DW,Admet,Lonsdale
2704,WTX 748,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002273,ABM 'CB64A',5900,Aug-02,B47DW,Admet,Lonsdale
2705,WTZ 205,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002275,ABM 'CB64A',5901,Aug-02,B47DW,Admet,Lonsdale
2706,WTZ 164,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002276,ABM 'CB64A',5902,Sep-02,B47DW,Admet,Lonsdale
2707,WTZ 165,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002277,ABM 'CB64A',5903,Sep-02,B47DW,Admet,Lonsdale
2708,WUU 679,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002278,ABM 'CB64A',5904,Oct-02,B47DW,Admet,Lonsdale
2709,WUU 683,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002280,ABM 'CB64A',5905,Oct-02,B47DW,Admet,Lonsdale
2710,WUU 682,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002336,ABM 'CB64A',5906,Sep-02,B47DW,Admet,Lonsdale
2711,WUU 681,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002337,ABM 'CB64A',5907,Oct-02,B47DW,Admet,Lonsdale
2712,WUU 680,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002338,ABM 'CB64A',5908,Oct-02,B47DW,Admet,Lonsdale
2713,WUY 534,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002339,ABM 'CB64A',5909,Oct-02,B47DW,Admet,Lonsdale
2714,WUW 684,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002340,ABM 'CB64A',5910,Oct-02,B47DW,Admet,Lonsdale
2715,WVA 465,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002341,ABM 'CB64A',5911,Nov-02,B47DW,Admet,Lonsdale
2716,WVA 533,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002342,ABM 'CB64A',5912,Nov-02,B47DW,Admet,Lonsdale
2717,WVA 464,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002356,ABM 'CB64A',5913,Nov-02,B47DW,Admet,Lonsdale
2718,WVA 532,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002357,ABM 'CB64A',5914,2002,B47DW,Admet,Lonsdale
2719,WVC 031,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002361,ABM 'CB64A',5915,Dec-02,B47DW,Admet,Lonsdale
2720,WVC 033,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002406,ABM 'CB64A',5916,2002,B47DW,Admet,Lonsdale
2721,WVC 035,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002407,ABM 'CB64A',5917,Dec-02,B47DW,Admet,Lonsdale
2722,WVC 034,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002408,ABM 'CB64A',5918,Dec-02,B47DW,Admet,Lonsdale
2723,WVS 668,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002409,ABM 'CB64A',5919,Feb-03,B47DW,Admet,Lonsdale
2725,WVA 759,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002414,ABM 'CB64A',5921,2003,B47DW,Admet,Lonsdale
2726,WVS 290,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002416,ABM 'CB64A',5922,2003,B47DW,Admet,Lonsdale
2727,WVS 291,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002417,ABM 'CB64A',5923,Feb-03,B47DW,Admet,Lonsdale
2728,WVS 289,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002418,ABM 'CB64A',5924,2003,B47DW,Admet,Lonsdale
2729,WWH 737,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002419,ABM 'CB64A',5925,Mar-03,B47DW,Admet,Lonsdale
2730,WWH 736,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002471,ABM 'CB64A',5926,Mar-03,B47DW,Admet,Lonsdale
2731,WWH 738,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002472,ABM 'CB64A',5927,2003,B47DW,Admet,Lonsdale
2732,WWH 877,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002473,ABM 'CB64A',5928,Mar-03,B47DW,Admet,Lonsdale
2733,WWD 753,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002230,ABM 'CB64A',5929,2003,B47DW,Admet,Lonsdale
2734,WWG 384,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002475,ABM 'CB64A',5930,Apr-03,B47DW,Admet,Lonsdale
2735,WWG 377,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002476,ABM 'CB64A',5931,2003,B47DW,Admet,Lonsdale
2736,WWG 392,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002477,ABM 'CB64A',5932,Apr-03,B47DW,Admet,Lonsdale
2737,WXB 799,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002748,ABM 'CB64A',5933,Jun-03,B47DW,Admet,Lonsdale
2738,WXB 540,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002749,ABM 'CB64A',5934,Jun-03,B47DW,Admet,Lonsdale
2739,WXL 124,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002750,ABM 'CB64A',5951,Jun-03,B47DW,Admet,Lonsdale
2740,WXL 123,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002211,ABM 'CB64A',5952,Jun-03,B47DW,Admet,Lonsdale
2741,WXL 122,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002212,ABM 'CB64A',5953,Jun-03,B47DW,Admet,Lonsdale
2742,WXJ 088,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002213,ABM 'CB64A',5954,Jun-03,B47DW,Admet,Lonsdale
2743,WZB 278,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002819,ABM 'CB64A',5973,Dec-03,B47DW,Admet,Lonsdale
2745,WZB 279,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002820,ABM 'CB64A',5975,Dec-03,B47DW,Admet,Lonsdale
2746,XCS 552,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002164,ABM 'CB60',5884,May-02,B49FW,Admet,Lonsdale
2747,WWT 975,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002804,ABM 'CB64A',5968,Oct-03,B47DW,Admet,Lonsdale
2748,WYT 678,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002807,ABM 'CB64A',5970,Oct-03,B46DW,Admet,Lonsdale
2749,WZJ 312,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002809,ABM 'CB64A',5971,Nov-03,B47DW,Admet,Lonsdale
2751,WVS 669,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002413,ABM 'CB64A',5920,Feb-03,B47DW,Admet,Lonsdale
2801,XAM 184,Scania L94UA,YS2L6X20001840408,Volgren 'CR224L',VG1534,Mar-02,AB??TW,Admet,Lonsdale
2802,XBZ 953,Scania L94UA,YS2L6X20001846467,Custom Coaches 'CB60 Combo',6004A,Jul-04,AB69DW,Admet,Lonsdale
2803,XBZ 954,Scania L94UA,YS2L6X20001846608,Custom Coaches 'CB60 Combo',6005A,Jul-04,AB69DW,Admet,Lonsdale
2804,XBZ 955,Scania L94UA,YS2L6X20001846618,Custom Coaches 'CB60 Combo',6006A,Jul-04,AB69DW,Admet,Lonsdale
2805,XCP 745,Scania L94UA,YS2L6X20001846624,Custom Coaches 'CB60 Combo',6007A,Jul-04,AB69DW,Admet,Lonsdale
2806,XCP 729,Scania L94UA,YS2L6X20001848863,Custom Coaches 'CB60 Combo',6008A,Aug-04,AB65DW,Admet,Lonsdale
2807,XDA 422,Scania L94UA,YS2L6X20001847747,Custom Coaches 'CB60 Combo',6016A,Oct-04,AB69DW,Admet,Lonsdale
2808,XDA 952,Scania L94UA,YS2L6X20001847913,Custom Coaches 'CB60 Combo',6017A,Oct-04,AB69DW,Admet,Lonsdale
2809,XDD 395,Scania L94UA,YS2L6X20001848117,Custom Coaches 'CB60 Combo',6018A,Nov-04,AB69DW,Admet,Lonsdale
2810,XDD 393,Scania L94UA,YS2L6X20001848229,Custom Coaches 'CB60 Combo',6019A,Nov-04,AB69DW,Admet,Lonsdale
2811,XDD 079,Scania L94UA,YS2L6X20001848288,Custom Coaches 'CB60 Combo',6020A,Nov-04,AB69DW,Admet,Lonsdale
2812,XEV 126,Scania L94UA,YS2L6X20001848791,Custom Coaches 'CB60 Combo',6027,Mar-03,AB69DW,Admet,Lonsdale
2813,XEY 788,Scania L94UA,YS2L6X20001848906,Custom Coaches 'CB60 Combo',6028A,Mar-05,AB69DW,Admet,Lonsdale
2814,XEL 756,Scania L94UA,YS2L6X20001848917,Custom Coaches 'CB60 Combo',6029A,Nov-04,AB69DW,Admet,Lonsdale
2815,XFC 912,Scania L94UA,YS2L6X20001849086,Custom Coaches 'CB60 Combo',6030A,May-05,AB69DW,Admet,Lonsdale
2816,XFC 913,Scania L94UA,YS2L6X20001849164,Custom Coaches 'CB60 Combo',6031A,Mar-03,AB69DW,Admet,Lonsdale
2817,XGM 920,Scania L94UA,YS2L6X20001850837,Custom Coaches 'CB60 Combo',6037A,Aug-05,AB69DW,Admet,Lonsdale
2818,XGJ 744,Scania L94UA,YS2L6X20001851174,Custom Coaches 'CB60 Combo',6038A,Aug-05,AB69DW,Admet,Lonsdale
2819,XHO 036,Scania L94UA,YS2L6X20001851680,Custom Coaches 'CB60 Combo',6039A,Nov-05,AB69DW,Admet,Lonsdale
2820,XGS 056,Scania L94UA,YS2L6X20001851219,Custom Coaches 'CB60 Combo',6040A,Sep-05,AB69DW,Admet,Lonsdale
2821,XHH 518,Scania L94UA,YS2L6X20001851282,Custom Coaches 'CB60 Combo',6041A,Nov-05,AB69DW,Admet,Lonsdale
2822,XHT 188,Scania L94UA,YS2L6X20001851297,Custom Coaches 'CB60 Combo',6042A,Nov-05,AB69DW,Admet,Lonsdale
2859,SB 00 GL,Scania K360UA,YS2K6X20001880262,Custom 'CB80',945041,Mar-13,AB63TW,Admet v2,Lonsdale
2860,SB 32 GR,Scania K360UA,YS2K6X20001881073,Custom 'CB80',945042,Mar-13,AB63TW,Admet v2,Lonsdale
2861,XS 82CW,Hino Poncho HX,JHDHX9JLKXXX40058,Hino,-,Jan-20,B18FW,Admet New,Lonsdale
2862,XS 83CW,Hino Poncho HX,JHDHX9JLKXXX40062,Hino,-,Mar-20,B18FW,Admet New,Lonsdale
2863,XS 96CT,Hino Poncho HX,JHDHX9JLKXXX40059,Hino,-,Mar-20,B18FW,Admet New,Lonsdale
2864,SB 70 GS,Scania K360UA,YS2K6X20001881085,Custom 'CB80',945044,Apr-13,AB63TW,Admet v2,Lonsdale
2865,XS 09GA,Scania K360UA,YS2K6X20001919458,BusTech (SA) 'VST-A',,2022,AB58TW,Admet new,Lonsdale
270S,WXZ 129,MAN 18.280 HOCL-NL,WMAA69ZZZ2H002229,ABM 'CB64A',5964,Aug-03,B46DW,Admet,Lonsdale
272S,WXZ 130,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002798,ABM 'CB64A',5966,Oct-03,B46DW,Admet,Lonsdale
274S,WYT 795,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002799,ABM 'CB64A',5967,Oct-03,B46DW,Admet,Lonsdale
276S,WYT 794,MAN 18.280 HOCL-NL,WMAA69ZZZ3H002806,ABM 'CB64A',5969,Oct-03,B46DW,Admet,Lonsdale
